wandb: Currently logged in as: alexandretl. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.17.8
wandb: Run data is saved locally in /workspace/hash-hop-hub/wandb/run-20240903_180237-02pl1fao
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run bright-shadow-6
wandb: ⭐️ View project at https://wandb.ai/alexandretl/hash-hop-hub
wandb: 🚀 View run at https://wandb.ai/alexandretl/hash-hop-hub/runs/02pl1fao
Run name: bright-shadow-6.
Model initialized. Number of parameters : 7251561.
Compiling the model...
Done compiling.
Training is starting.
Iter 000000/100000. train loss : 4.066. valid loss : 4.064. lr : 0.00000. uptime : 00h00min. ETA : 06h57min.
Iter 000200/100000. train loss : 3.561. valid loss : 3.560. lr : 0.00020. uptime : 00h01min. ETA : 02h20min.
Iter 000400/100000. train loss : 3.407. valid loss : 3.429. lr : 0.00040. uptime : 00h01min. ETA : 02h18min.
Iter 000600/100000. train loss : 3.163. valid loss : 3.138. lr : 0.00060. uptime : 00h01min. ETA : 02h18min.
Iter 000800/100000. train loss : 2.137. valid loss : 2.152. lr : 0.00080. uptime : 00h01min. ETA : 02h17min.
Iter 001000/100000. train loss : 1.891. valid loss : 1.902. lr : 0.00100. uptime : 00h02min. ETA : 02h21min.
Iter 001200/100000. train loss : 1.902. valid loss : 1.881. lr : 0.00100. uptime : 00h02min. ETA : 02h16min.
Iter 001400/100000. train loss : 1.852. valid loss : 1.876. lr : 0.00100. uptime : 00h02min. ETA : 02h17min.
Iter 001600/100000. train loss : 1.872. valid loss : 1.872. lr : 0.00100. uptime : 00h03min. ETA : 02h17min.
Iter 001800/100000. train loss : 1.876. valid loss : 1.866. lr : 0.00100. uptime : 00h03min. ETA : 02h16min.
Iter 002000/100000. train loss : 1.854. valid loss : 1.865. lr : 0.00100. uptime : 00h03min. ETA : 02h19min.
Iter 002200/100000. train loss : 1.862. valid loss : 1.864. lr : 0.00100. uptime : 00h03min. ETA : 02h15min.
Iter 002400/100000. train loss : 1.859. valid loss : 1.860. lr : 0.00100. uptime : 00h04min. ETA : 02h14min.
Iter 002600/100000. train loss : 1.889. valid loss : 1.861. lr : 0.00100. uptime : 00h04min. ETA : 02h14min.
Iter 002800/100000. train loss : 1.853. valid loss : 1.860. lr : 0.00100. uptime : 00h04min. ETA : 02h14min.
Iter 003000/100000. train loss : 1.852. valid loss : 1.860. lr : 0.00100. uptime : 00h05min. ETA : 02h17min.
Iter 003200/100000. train loss : 1.853. valid loss : 1.855. lr : 0.00100. uptime : 00h05min. ETA : 02h13min.
Iter 003400/100000. train loss : 1.845. valid loss : 1.858. lr : 0.00100. uptime : 00h05min. ETA : 02h13min.
Iter 003600/100000. train loss : 1.857. valid loss : 1.863. lr : 0.00100. uptime : 00h05min. ETA : 02h13min.
Iter 003800/100000. train loss : 1.859. valid loss : 1.853. lr : 0.00100. uptime : 00h06min. ETA : 02h13min.
Iter 004000/100000. train loss : 1.863. valid loss : 1.854. lr : 0.00100. uptime : 00h06min. ETA : 02h16min.
Iter 004200/100000. train loss : 1.874. valid loss : 1.853. lr : 0.00100. uptime : 00h06min. ETA : 02h12min.
Iter 004400/100000. train loss : 1.861. valid loss : 1.853. lr : 0.00100. uptime : 00h07min. ETA : 02h13min.
Iter 004600/100000. train loss : 1.863. valid loss : 1.854. lr : 0.00100. uptime : 00h07min. ETA : 02h12min.
Iter 004800/100000. train loss : 1.849. valid loss : 1.851. lr : 0.00100. uptime : 00h07min. ETA : 02h12min.
Iter 005000/100000. train loss : 1.843. valid loss : 1.854. lr : 0.00100. uptime : 00h07min. ETA : 02h16min.
Iter 005200/100000. train loss : 1.855. valid loss : 1.855. lr : 0.00100. uptime : 00h08min. ETA : 02h12min.
Iter 005400/100000. train loss : 1.872. valid loss : 1.855. lr : 0.00100. uptime : 00h08min. ETA : 02h11min.
Iter 005600/100000. train loss : 1.860. valid loss : 1.853. lr : 0.00100. uptime : 00h08min. ETA : 02h11min.
Iter 005800/100000. train loss : 1.844. valid loss : 1.851. lr : 0.00100. uptime : 00h08min. ETA : 02h10min.
Iter 006000/100000. train loss : 1.859. valid loss : 1.852. lr : 0.00100. uptime : 00h09min. ETA : 02h13min.
Iter 006200/100000. train loss : 1.846. valid loss : 1.852. lr : 0.00100. uptime : 00h09min. ETA : 02h09min.
Iter 006400/100000. train loss : 1.851. valid loss : 1.849. lr : 0.00100. uptime : 00h09min. ETA : 02h09min.
Iter 006600/100000. train loss : 1.849. valid loss : 1.852. lr : 0.00100. uptime : 00h10min. ETA : 02h09min.
Iter 006800/100000. train loss : 1.856. valid loss : 1.852. lr : 0.00100. uptime : 00h10min. ETA : 02h09min.
Iter 007000/100000. train loss : 1.848. valid loss : 1.850. lr : 0.00100. uptime : 00h10min. ETA : 02h12min.
Iter 007200/100000. train loss : 1.840. valid loss : 1.850. lr : 0.00100. uptime : 00h10min. ETA : 02h09min.
Iter 007400/100000. train loss : 1.864. valid loss : 1.853. lr : 0.00100. uptime : 00h11min. ETA : 02h08min.
Iter 007600/100000. train loss : 1.838. valid loss : 1.851. lr : 0.00100. uptime : 00h11min. ETA : 02h08min.
Iter 007800/100000. train loss : 1.851. valid loss : 1.850. lr : 0.00100. uptime : 00h11min. ETA : 02h08min.
Iter 008000/100000. train loss : 1.843. valid loss : 1.849. lr : 0.00100. uptime : 00h12min. ETA : 02h10min.
Iter 008200/100000. train loss : 1.839. valid loss : 1.849. lr : 0.00100. uptime : 00h12min. ETA : 02h06min.
Iter 008400/100000. train loss : 1.853. valid loss : 1.854. lr : 0.00100. uptime : 00h12min. ETA : 02h07min.
Iter 008600/100000. train loss : 1.825. valid loss : 1.851. lr : 0.00100. uptime : 00h12min. ETA : 02h07min.
Iter 008800/100000. train loss : 1.847. valid loss : 1.851. lr : 0.00100. uptime : 00h13min. ETA : 02h06min.
Iter 009000/100000. train loss : 1.853. valid loss : 1.850. lr : 0.00100. uptime : 00h13min. ETA : 02h10min.
Iter 009200/100000. train loss : 1.852. valid loss : 1.848. lr : 0.00100. uptime : 00h13min. ETA : 02h05min.
Iter 009400/100000. train loss : 1.854. valid loss : 1.850. lr : 0.00100. uptime : 00h14min. ETA : 02h05min.
Iter 009600/100000. train loss : 1.856. valid loss : 1.849. lr : 0.00100. uptime : 00h14min. ETA : 02h05min.
Iter 009800/100000. train loss : 1.841. valid loss : 1.851. lr : 0.00100. uptime : 00h14min. ETA : 02h05min.
Iter 010000/100000. train loss : 1.869. valid loss : 1.853. lr : 0.00100. uptime : 00h14min. ETA : 02h09min.
Iter 010200/100000. train loss : 1.856. valid loss : 1.851. lr : 0.00100. uptime : 00h15min. ETA : 02h05min.
Iter 010400/100000. train loss : 1.853. valid loss : 1.849. lr : 0.00100. uptime : 00h15min. ETA : 02h04min.
Iter 010600/100000. train loss : 1.851. valid loss : 1.849. lr : 0.00100. uptime : 00h15min. ETA : 02h04min.
Iter 010800/100000. train loss : 1.849. valid loss : 1.851. lr : 0.00100. uptime : 00h15min. ETA : 02h03min.
Iter 011000/100000. train loss : 1.838. valid loss : 1.848. lr : 0.00100. uptime : 00h16min. ETA : 02h07min.
Iter 011200/100000. train loss : 1.853. valid loss : 1.848. lr : 0.00100. uptime : 00h16min. ETA : 02h03min.
Iter 011400/100000. train loss : 1.849. valid loss : 1.850. lr : 0.00100. uptime : 00h16min. ETA : 02h03min.
Iter 011600/100000. train loss : 1.858. valid loss : 1.852. lr : 0.00100. uptime : 00h17min. ETA : 02h02min.
Iter 011800/100000. train loss : 1.846. valid loss : 1.849. lr : 0.00100. uptime : 00h17min. ETA : 02h02min.
Iter 012000/100000. train loss : 1.853. valid loss : 1.850. lr : 0.00100. uptime : 00h17min. ETA : 02h06min.
Iter 012200/100000. train loss : 1.856. valid loss : 1.851. lr : 0.00100. uptime : 00h17min. ETA : 02h01min.
Iter 012400/100000. train loss : 1.855. valid loss : 1.849. lr : 0.00100. uptime : 00h18min. ETA : 02h01min.
Iter 012600/100000. train loss : 1.833. valid loss : 1.849. lr : 0.00100. uptime : 00h18min. ETA : 02h01min.
Iter 012800/100000. train loss : 1.849. valid loss : 1.849. lr : 0.00100. uptime : 00h18min. ETA : 02h01min.
Iter 013000/100000. train loss : 1.850. valid loss : 1.848. lr : 0.00100. uptime : 00h19min. ETA : 02h04min.
Iter 013200/100000. train loss : 1.848. valid loss : 1.849. lr : 0.00100. uptime : 00h19min. ETA : 01h59min.
Iter 013400/100000. train loss : 1.852. valid loss : 1.848. lr : 0.00100. uptime : 00h19min. ETA : 01h59min.
Iter 013600/100000. train loss : 1.849. valid loss : 1.851. lr : 0.00100. uptime : 00h19min. ETA : 01h59min.
Iter 013800/100000. train loss : 1.850. valid loss : 1.856. lr : 0.00100. uptime : 00h20min. ETA : 01h59min.
Iter 014000/100000. train loss : 1.845. valid loss : 1.850. lr : 0.00100. uptime : 00h20min. ETA : 02h02min.
Iter 014200/100000. train loss : 1.840. valid loss : 1.848. lr : 0.00100. uptime : 00h20min. ETA : 01h58min.
Iter 014400/100000. train loss : 1.842. valid loss : 1.848. lr : 0.00100. uptime : 00h21min. ETA : 01h58min.
Iter 014600/100000. train loss : 1.849. valid loss : 1.857. lr : 0.00100. uptime : 00h21min. ETA : 01h58min.
Iter 014800/100000. train loss : 1.855. valid loss : 1.848. lr : 0.00100. uptime : 00h21min. ETA : 01h58min.
Iter 015000/100000. train loss : 1.854. valid loss : 1.849. lr : 0.00100. uptime : 00h21min. ETA : 02h02min.
Iter 015200/100000. train loss : 1.849. valid loss : 1.847. lr : 0.00100. uptime : 00h22min. ETA : 01h57min.
